id,text,toxic,obscene,threat,insult,identity_hate
"""userName"":""jiny****"",""userProfileImage""","""솔직히 이쁘긴 하더라!!""",0.0,0.0,0.0,0.0,0.0
"""userName"":""rayc****"",""userProfileImage""","""이쁘다 ~~""",0.0,0.0,0.0,0.0,0.0
"""userName"":""estd****"",""userProfileImage""","""3년 전만 해도 감성으로 애플사는놈들 이해안된다너니 이제 감성있다고 갤럭시 산다그러네 ㅋㅋㅋㅋㅋㅋㅋ 삼엽충 탈출은 지능순ㅗ""",1.0,0.0,0.0,1.0,0.0
"""userName"":""ende****"",""userProfileImage""","""미국에 살고있습니다, 애플말고 삼성폰 진짜 아무도 관심없습니다""",1.0,0.0,0.0,1.0,0.0
"""userName"":""sa12****"",""userProfileImage""","""현실 ㅡ 한국인 빼고 아무도 관심 없음""",1.0,0.0,0.0,1.0,0.0
"""userName"":""jwsl****"",""userProfileImage""","""플립3사고 후회중 안터짐.힘지부분 소리남. 들뜸""",1.0,0.0,0.0,0.0,0.0
"""userName"":""reca****"",""userProfileImage""","""이번 Z플립3은 정말 잘 만든 가성비가 훌륭한 제품같다""",0.0,0.0,0.0,0.0,0.0
"""userName"":""vkdh****"",""userProfileImage""","""냉장고같이 생겼네""",0.0,0.0,0.0,0.0,0.0
"""userName"":""kimb****"",""userProfileImage""","""김치냉장고같다 세워놓으면 ㅋㅋ""",0.0,0.0,0.0,0.0,0.0
"""userName"":""hyer****"",""userProfileImage""","""나도 진짜 이뿌다. 이젠 다시 접고싶다 ㅎㅎㅎㅎ""",0.0,0.0,0.0,0.0,0.0
"""userName"":""rabi****"",""userProfileImage""","""역시 삼성""",0.0,0.0,0.0,0.0,0.0
"""userName"":""mkim****"",""userProfileImage""","""한심한.. 그만하자... 우물안에서 아무리 외친다고... 되는게 아니니까...""",1.0,0.0,0.0,1.0,0.0
"""userName"":""yehe****"",""userProfileImage""","""처음에만 이뻐서 샀는데,\n매번 열고 닫는거 어느순간 귀찮아지고, 결정적으로 중간에 접힘자국 신경쓰인다 ㅠㅜ""",1.0,0.0,0.0,1.0,0.0
"""userName"":""chan****"",""userProfileImage""","""가자야 적당히하고  끝내라 무슨 .. \n아주 쇼를하네 .""",1.0,0.0,0.0,1.0,1.0
"""userName"":""dill****"",""userProfileImage""","""죄송하지만 약간 촌스러워 보이는듯한 원색끼리의 조합인데 디자인팀 물갈이 하시는게 어떨련지""",1.0,0.0,0.0,0.0,0.0
"""userName"":""ljhl****"",""userProfileImage""","""갤21 발열이 너무 심해서 Z플립3 갈아탈려다가 폰 펼치는 순간 구매욕구가 사라짐.. 액정에 예민한사람은 너무 신경쓰입니다. 할수없이 아이폰13미니로 갈아탔는데 삼성페이 없는거빼곤 매우 만족합니다.""",0.0,0.0,0.0,0.0,0.0
"""userName"":""july****"",""userProfileImage""","""3달만 지나면 버벅버벅""",1.0,0.0,0.0,0.0,1.0
"""userName"":""juni****"",""userProfileImage""","""국산써 삼성폰 좋자나 애플폰도 좋지만 허세그만 부리고 등골브레이커 노스페이스 출신 세대들아""",1.0,0.0,0.0,1.0,1.0
"""userName"":""hapy****"",""userProfileImage""","""미니언즈..?""",0.0,0.0,0.0,0.0,0.0
"""userName"":""lemo****"",""userProfileImage""","""대한민국의 자랑 삼성 화이팅!""",0.0,0.0,0.0,0.0,0.0
"""userName"":""atzz****"",""userProfileImage""","""위부터 감 빨 노 해서 독일 🇩🇪  에디션 해서 독일에 팔면 잘나갈듯싶어요. 삼성 제 아이디어 저한테 사세요. 연락주세요 ^.~""",0.0,0.0,0.0,0.0,0.0
"""userName"":""chlw****"",""userProfileImage""","""이쁘긴이쁘네""",0.0,0.0,0.0,0.0,0.0
"""userName"":""hwtj****"",""userProfileImage""","""솔직히 너무 이쁘자나~~?""",0.0,0.0,0.0,0.0,0.0
"""userName"":""zeld****"",""userProfileImage""","""확실히 기술보단 감성 디자인이 먹히는 듯""",0.0,0.0,0.0,0.0,0.0
"""userName"":""post****"",""userProfileImage""","""그래서 북미에서 몇대 팔렸는지?""",0.0,0.0,0.0,0.0,0.0
"""userName"":""star****"",""userProfileImage""","""내 눈이 이상한가 봐 나는 핸드폰이 왜 냉장고로 보이지 냉장고  줄 알았어 ㅋㅋㅋ""",0.0,0.0,0.0,0.0,0.0
"""userName"":""moto****"",""userProfileImage""","""기레기 삼성 광고해주면 얼마 받냐? 궁금하네""",1.0,0.0,0.0,1.0,1.0
"""userName"":""hell****"",""userProfileImage""","""오 삼성냉장고""",0.0,0.0,0.0,0.0,0.0
"""userName"":""bris****"",""userProfileImage""","""역시 삼성!!!! 폴드3 z플립 다 갖고 싶다 삼성은최고가 될 자격이 충분하다!! 애플 박살내자!!""",0.0,0.0,0.0,0.0,0.0
"""userName"":""zomb****"",""userProfileImage""","""대기업 신입들 전부 아이폰 쓰던데?""",0.0,0.0,0.0,0.0,0.0
"""userName"":""mrki****"",""userProfileImage""","""LG 거 계속 사용중,..쓰기 괜찬은데...사람들이 비싸고 좋은거만 찾네..""",0.0,0.0,0.0,0.0,0.0
"""userName"":""sspa****"",""userProfileImage""","""저도 갤럭시만 씁니다""",0.0,0.0,0.0,0.0,0.0
"""userName"":""kjhj****"",""userProfileImage""","""이쁘긴하네""",0.0,0.0,0.0,0.0,0.0
"""userName"":""koko****"",""userProfileImage""","""삼성 잘한다!칭찬해""",0.0,0.0,0.0,0.0,0.0
"""userName"":""jywo****"",""userProfileImage""","""갬성전자 가즈아""",0.0,0.0,0.0,0.0,0.0
"""userName"":""eee4****"",""userProfileImage""","""삼성폴더블이 요즘 나오는 아이폰보다는 혁신적인듯.""",0.0,0.0,0.0,0.0,0.0
"""userName"":""2016****"",""userProfileImage""","""요즘 국뽕 기사 보면 왜이렇게 짜증이나지 정도가 심한데?""",1.0,0.0,0.0,1.0,0.0
"""userName"":""lees****"",""userProfileImage""","""삼성은 발열부터 잡아라. 시스템 실제 사용시 더 반응 빨라보이게 하려고 오버클럭 스키는건지 좀 앵간해야지. 가끔가다 손대면 깜짝 놀란다 이거 터지는거 아닌가 하고. 그따위로 쳐만드니 시간 좀만 지나도 시스템이 확 느려지는게 느껴지지 미친""",1.0,0.0,0.0,1.0,0.0
"""userName"":""znls****"",""userProfileImage""","""이번엔 냉장고 폰인가..? ㅋㅋㅋ""",0.0,0.0,0.0,0.0,0.0
"""userName"":""ipun****"",""userProfileImage""","""엄청 자랑스러워요""",0.0,0.0,0.0,0.0,0.0
"""userName"":""dona****"",""userProfileImage""","""이게.............?""",1.0,0.0,0.0,1.0,0.0
"""userName"":""kppr****"",""userProfileImage""","""쓰다보면 너무 느려져, 샘성""",1.0,0.0,0.0,0.0,1.0
"""userName"":""wise****"",""userProfileImage""","""미니언즈""",0.0,0.0,0.0,0.0,0.0
"""userName"":""rive****"",""userProfileImage""","""색깔 죄다 따로놀고 있는데 어딜 봐서 이쁘단건지""",1.0,0.0,0.0,1.0,1.0
"""userName"":""itss****"",""userProfileImage""","""냉장고디자인ㅋ""",1.0,0.0,0.0,1.0,0.0
"""userName"":""kdgf****"",""userProfileImage""","""대박이다ㅋㅋ""",0.0,0.0,0.0,0.0,0.0
"""userName"":""yhjl****"",""userProfileImage""","""삼성은 as정말 화나가나고 욕을 해버리고 싶다 엔지니어들에 그 주관적인 판단에 치를떤다.""",1.0,0.0,0.0,1.0,1.0
"""userName"":""maid****"",""userProfileImage""","""베터리 광탈에 한번 더 놀랄걸""",1.0,0.0,0.0,1.0,0.0
"""userName"":""kkh8****"",""userProfileImage""","""이게 이쁘냐""",1.0,0.0,0.0,1.0,0.0
"""userName"":""miso****"",""userProfileImage""","""재끼는게 너무 힘들어""",1.0,0.0,0.0,0.0,0.0
"""userName"":""jin6****"",""userProfileImage""","""김치냉장고같은디""",1.0,0.0,0.0,0.0,0.0
"""userName"":""vdh8****"",""userProfileImage""","""오... 존나 예뻐""",0.0,0.0,0.0,0.0,0.0
"""userName"":""ocea****"",""userProfileImage""","""나도 다음폰은 저거!!!""",0.0,0.0,0.0,0.0,0.0
"""userName"":""mabs****"",""userProfileImage""","""응 미국에서 공짜폰, 행사할때 1+1""",1.0,0.0,0.0,0.0,0.0
"""userName"":""naya****"",""userProfileImage""","""장하다 삼성~~♡♡""",0.0,0.0,0.0,0.0,0.0
"""userName"":""teig****"",""userProfileImage""","""삼성에게 얼마받고 쓴 기사일까.""",1.0,0.0,0.0,0.0,0.0
"""userName"":""juno****"",""userProfileImage""","""지금 생각난 건데, 펼치면 나라국기 색이 되게 하는 것도 예쁠듯""",0.0,0.0,0.0,0.0,0.0
"""userName"":""pyyt****"",""userProfileImage""","""나는 지금 아이폰을 쓰고는 있지만 이번에 갤플립3 너무 이쁘다고 생각함 삼성이 더 흥했음 좋겠다! 아픈 손가락 엘지는….(또르륵)""",0.0,0.0,0.0,0.0,0.0
"""userName"":""lavi****"",""userProfileImage""","""아이폰과 갤럭시는 경쟁상대가 아니라니까...그냥 전혀 다른 폰이야~ 갤럭시는 안드로이드 최강자일뿐임 갤럭시는 같은 안드로이드폰인 샤오미 화웨이 소니 이런데랑 경쟁을 하는거고 안잡이먹히는게 중요하지""",0.0,0.0,0.0,0.0,0.0
"""userName"":""love****"",""userProfileImage""","""삼성 광고를 보는 기분""",1.0,0.0,0.0,0.0,0.0
"""userName"":""arsk****"",""userProfileImage""","""무슨 여기서 앱등이삼성 싸우고있냐ㅋㅋㅋㅋ이런기사올때마다웃겨서원ㅋㅋㅋ 그냥 둘다사면되지 거지들이냐? 나는참고로 신작폰나오면 4종류는 산다 애플 삼성 제외하고 신기한 폰 두개정도 더 ㅋㅋㅋ서로 애플! 삼성! 개웃김 폰이뭐라고 재밌는장남감인데 애들이따로없네""",1.0,0.0,0.0,1.0,1.0
"""userName"":""sgl0****"",""userProfileImage""","""삼성 갤럭시만 사용중인데요! 크기 좀만 더 작게 출시하고 디자인 좀만 더 손보면 애플 압살 가능합니다.  편리기능도 잘되있어서 사용하기 넘 편해요!!!""",0.0,0.0,0.0,0.0,0.0
"""userName"":""sukz****"",""userProfileImage""","""냉장고인줄""",1.0,0.0,0.0,0.0,0.0
"""userName"":""7655****"",""userProfileImage""","""촌스러움""",1.0,0.0,0.0,1.0,0.0
"""userName"":""ceon****"",""userProfileImage""","""한국 니가 젤 잘나가""",0.0,0.0,0.0,0.0,0.0
"""userName"":""toto****"",""userProfileImage""","""와~ 요즘 왜 이렇게 삼성 광고가 많어 주가도 떡락하고 그만큼 해외 수출이 어렵다는건가?""",1.0,0.0,0.0,0.0,0.0
"""userName"":""wnsr****"",""userProfileImage""","""삼성알바 또 너야?ㅋㅋ""",1.0,0.0,0.0,0.0,1.0
"""userName"":""haya****"",""userProfileImage""","""근데 진짜 문화가 다르긴 다른가 보다.. 노랑파랑이라니..ㅎ""",0.0,0.0,0.0,0.0,0.0
"""userName"":""sksm****"",""userProfileImage""","""베터리 털리고 후회하지""",1.0,0.0,0.0,0.0,1.0
"""userName"":""sson****"",""userProfileImage""","""우리집 냉장고네""",1.0,0.0,0.0,0.0,0.0
"""userName"":""thdg****"",""userProfileImage""","""내눈엔 안예쁜데 ㅋㅋㅋㅋ 뭐고""",1.0,0.0,0.0,0.0,1.0
"""userName"":""yang****"",""userProfileImage""","""기레기, 한번 가보고 기사 올리세요""",1.0,0.0,0.0,1.0,1.0
"""userName"":""e088****"",""userProfileImage""","""안살거임""",1.0,0.0,0.0,0.0,0.0
"""userName"":""cjxn****"",""userProfileImage""","""내눈엔 촌스인데 미국인에겐 통했다니 굿!""",0.0,0.0,0.0,0.0,0.0
"""userName"":""pers****"",""userProfileImage""","""플립은 접어야 예쁘지.""",0.0,0.0,0.0,0.0,0.0
"""userName"":""liz_****"",""userProfileImage""","""광고기사에 광고댓글에.. 광고오진다 진짜 ㅋㅋ""",1.0,0.0,0.0,1.0,0.0
"""userName"":""jjun****"",""userProfileImage""","""에휴. 샘숭.ㅋ 저딴 폰 커스텀 옵션 넣을 시간에 최적화랑 발열제어나 조금더 작업하지.ㅋ 구매한지 1년 좀 넘게 지나면 느려지고 발열지옥 선사하는 매직.ㅋ""",1.0,0.0,0.0,1.0,1.0
"""userName"":""woos****"",""userProfileImage""","""한국은 아이폰이 오히려 불편하지않나""",0.0,0.0,0.0,0.0,0.0
"""userName"":""nasu****"",""userProfileImage""","""유럽여행시 삼성 최신폰 가지고 있으면 제일 먼저 알아보더라..\n유럽에선 삼성이 최고여~""",0.0,0.0,0.0,0.0,0.0
"""userName"":""enay****"",""userProfileImage""","""유튜브  배우니 꼭 애플을 사야되겠더라 ㅡㅡ;""",0.0,0.0,0.0,0.0,0.0
"""userName"":""punk****"",""userProfileImage""","""고동진 사장의 비젼이 이제야 통했네..""",0.0,0.0,0.0,0.0,0.0
"""userName"":""eanl****"",""userProfileImage""","""이쁘닷""",0.0,0.0,0.0,0.0,0.0
"""userName"":""eveh****"",""userProfileImage""","""아이폰은 물량없어서 예약 2주 기다리는데""",0.0,0.0,0.0,0.0,0.0
"""userName"":""eorp****"",""userProfileImage""","""폭락 인데 ????????????????????????""",1.0,0.0,0.0,0.0,0.0
"""userName"":""yien****"",""userProfileImage""","""이게 예쁘다고? 나는 애니콜 시절부터 삼성만 썼지만 성능 때문이었지 디자인 때문이 아니었다. 말 많고 탈 많은 폴더블,플립 좀 그만 들이밀고 노트나 S 시리즈 더 개발하길. 화면 굴곡은 언제 해결하시려나?""",1.0,0.0,0.0,0.0,0.0
"""userName"":""bas3****"",""userProfileImage""","""저색깔 나만 구리다고 생각하나? 다른 조합이면 모르겠는데 누런색에 용달블루 좀 아니다 ㅋㅋㅋㅋ 차라리 노랑에 베이지가 낫겠네 너무 실험적이다""",1.0,0.0,0.0,0.0,0.0
"""userName"":""karo****"",""userProfileImage""","""첫번째 z플립 촌스럽다.  z플립3 쓰는데 오타작렬 ㅠ 2년쓴 노트9보다 카메라 말고 나은게 없음.   이쁜거는 커버로 다 가려짐""",1.0,0.0,0.0,1.0,1.0
"""userName"":""lj44****"",""userProfileImage""","""썩은사과들아 부럽지 썩은사과는 못만들어서""",1.0,0.0,0.0,0.0,1.0
"""userName"":""junw****"",""userProfileImage""","""제발 싸우지들 말고..한국 기업 응원해주자 ㅋㅋ 한국 기업은 응원하되 본인이 원하는 제품 쓰면 되지..무슨 틀딱이니 뭐니 앱등이니 삼엽충이니 싸워서 이득이 되는게 있니...""",1.0,0.0,0.0,0.0,1.0
"""userName"":""adon****"",""userProfileImage""","""기기 한대에 색상 여러개 넣을수 있으니 예쁘긴 하네. 단색 밖에 없는 폰은 지루함""",0.0,0.0,0.0,0.0,0.0
"""userName"":""kws3****"",""userProfileImage""","""요즘 주름은 없어졌나..?\n난 주름은 극혐""",1.0,0.0,0.0,1.0,0.0
"""userName"":""kudi****"",""userProfileImage""","""이거 광고성 기사.. 라 생각 드네요.\n하지만 갤럭시와 애플이 서로의 좋은 방향으로 혁신과 발전을 하니 소비자 입장에서는 좋네요.""",0.0,0.0,0.0,0.0,0.0
"""userName"":""yjh0****"",""userProfileImage""","""240만대 ㅋㅋㅋㅋ""",0.0,0.0,0.0,0.0,0.0
"""userName"":""hyej****"",""userProfileImage""","""냉장고도 저렇게 비스포크? 만들더니 폰도 저게되네.. 근데 난 폴더는 별로... 액정 나가리되면 돈 2배 될거같음""",0.0,0.0,0.0,0.0,1.0
"""userName"":""sinh****"",""userProfileImage""","""3년된 내 폰이 망가져야 사는데...아직 너무 쌩쌩하구나..ㅠㅠ""",0.0,0.0,0.0,0.0,0.0
"""userName"":""bloc****"",""userProfileImage""","""색은 보기에도 정말 감각적으로 잘 뽑았다! 그런데 왜 폰을 접는가?""",0.0,0.0,0.0,0.0,0.0
"""userName"":""gkst****"",""userProfileImage""","""음..ㅋㅋㅋ""",1.0,0.0,0.0,0.0,0.0
"""userName"":""dear****"",""userProfileImage""","""역시 삼성!""",0.0,0.0,0.0,0.0,0.0
"""userName"":""hise****"",""userProfileImage""","""나는 접어서 사이즈 작고, 폭 좁고, 외형디자인 예뻐서 지플립 만족하는데.. 액정 접히는 면이 올록볼록한건 별로 신경 안쓰이는데.. 남편은 보자마자 자기는 돈 줘도 안 갖는다며.. 액정에 민감하신 분 ㅋㅋ 호불호가 분명한 듯 ㅋ""",0.0,0.0,0.0,0.0,0.0
"""userName"":""newx****"",""userProfileImage""","""오래쓰믄 액정 줄간닼ㅋ""",0.0,0.0,0.0,0.0,0.0
"""userName"":""rudd****"",""userProfileImage""","""제가 쓴 첫 삼성폰이 옴니아 였는데… 진짜 많이 발전했네요~~ 이쁘당~""",0.0,0.0,0.0,0.0,0.0
"""userName"":""lota****"",""userProfileImage""","""이번엔 아재폰티를 조금벗겨내긴햇네.""",0.0,0.0,0.0,0.0,0.0
"""userName"":""9237****"",""userProfileImage""","""어.. 짤은 안이쁜데요""",1.0,0.0,0.0,0.0,0.0
"""userName"":""miss****"",""userProfileImage""","""애국기업삼성 응원합니다 나라경제말아먹는 썩고부패인간들은 반드시 하늘이 벌줄것입니다""",1.0,0.0,0.0,0.0,1.0
"""userName"":""jspa****"",""userProfileImage""","""비스포크 들고있는줄알았네""",0.0,0.0,0.0,0.0,0.0
"""userName"":""bede****"",""userProfileImage""","""개똥같은 놈들이 일년내에 이거 따라만들어 팔거다. 양심도 없고 상도의도 없는 놈들.""",1.0,0.0,0.0,1.0,1.0
"""userName"":""braw****"",""userProfileImage""","""네다음 천조국 부동의 1위 천조국 애플 무시하지마라 국뽕아""",1.0,0.0,0.0,0.0,1.0
"""userName"":""tent****"",""userProfileImage""","""언플 적당희 좀""",1.0,0.0,0.0,0.0,0.0
"""userName"":""mrdn****"",""userProfileImage""","""노트가 좋아. 소처럼 일하는 화이트칼라 직딩에겐""",0.0,0.0,0.0,0.0,0.0
"""userName"":""song****"",""userProfileImage""","""색감 좀""",1.0,0.0,0.0,0.0,0.0
"""userName"":""kong****"",""userProfileImage""","""그래노 노트가좋다""",0.0,0.0,0.0,0.0,0.0
"""userName"":""luna****"",""userProfileImage""","""첫날삿는데 비스포크 나올줄 알앗으면 이거삿지ㅠㅠ""",0.0,0.0,0.0,0.0,0.0
"""userName"":""dltp****"",""userProfileImage""","""응.. 베터리 소진 결함 있는 폰 안 사요 ~~ 무슨 핸드폰이 가만히 둬도 5시간이 안 간다는 기사 봤음""",1.0,0.0,0.0,0.0,1.0
"""userName"":""tauk****"",""userProfileImage""","""인기 있으면 뭐해.... 물량이 딸리는걸...""",1.0,0.0,0.0,0.0,0.0
"""userName"":""sera****"",""userProfileImage""","""삼성 흥하자!""",0.0,0.0,0.0,0.0,0.0
"""userName"":""oh89****"",""userProfileImage""","""비스포크 시리즈인줄ㅋㅋ 이쁘네""",0.0,0.0,0.0,0.0,0.0
"""userName"":""minn****"",""userProfileImage""","""삼성 디자인 짱~~""",0.0,0.0,0.0,0.0,0.0
"""userName"":""nj99****"",""userProfileImage""","""시트지 사서 붙이면 되는거아냐?""",0.0,0.0,0.0,0.0,0.0
"""userName"":""skym****"",""userProfileImage""","""오우~~냉장고..""",1.0,0.0,0.0,0.0,0.0
"""userName"":""wlsd****"",""userProfileImage""","""저것도 사바사지만 난 맘에드는데 130만원에 에디션이니 혹여 잃어버릴까 겁난다 ㅜ 집에만 모셔둘 수도없고 ㅋㅋ 분홍색 비시포크를 많이봐서 그런가 젤 느낌있네""",0.0,0.0,0.0,0.0,0.0
"""userName"":""smil****"",""userProfileImage""","""냉장고 같노~~ㅋㅋㅋ""",1.0,0.0,0.0,1.0,0.0
"""userName"":""qwaq****"",""userProfileImage""","""접었다폈다 불편해서 다시 s시리즈로 넘어옴""",1.0,0.0,0.0,1.0,0.0
"""userName"":""heli****"",""userProfileImage""","""아이폰만 10년 가량 쓴 울 딸도 Z 플립으로 바꾸고 넘 좋아함..사진만 좀 그렇다고 ㅋ""",0.0,0.0,0.0,0.0,0.0
"""userName"":""youb****"",""userProfileImage""","""ㅋㅋ 냉장고냐 ㅋㅋ""",1.0,0.0,0.0,1.0,0.0
"""userName"":""nale****"",""userProfileImage""","""접히는부분보면사고싶은생각 1도없다.노트울트라가최고다""",1.0,0.0,0.0,0.0,0.0
"""userName"":""sues****"",""userProfileImage""","""촌스러..;""",1.0,0.0,0.0,1.0,0.0
"""userName"":""s965****"",""userProfileImage""","""한손으로 열고닫아야 하는데 두손으로 틀니여닫는 느낌이라""",1.0,0.0,0.0,1.0,0.0
"""userName"":""kiss****"",""userProfileImage""","""색상이 너무 취향 타게 생겼고 유행 지나면 금방 가치 하락할 폰 같다. 삼성의 기술력은 인정하나 디자인면에서 지금 당장 눈앞만 보는 것이 아니라 아이폰 같이 시간이 지나도 가치가 크게 변하지 않고 촌스럽지 않은 폰을 만들었으면.""",1.0,0.0,0.0,1.0,0.0
"""userName"":""lhy5****"",""userProfileImage""","""애플은 진짜 디자인으로 사는거지 ㅋㅋ""",0.0,0.0,0.0,0.0,0.0
"""userName"":""youn****"",""userProfileImage""","""한달  까지는 좋으나   3달째가면 너무불편해 한다  ㅋ\n왜  접을까?""",1.0,0.0,0.0,0.0,0.0
"""userName"":""sumi****"",""userProfileImage""","""근데  미국 ㅈ바리 짱ㄱㄱ는 아이폰만 사면. 삼성 폰은 대체 어느 나라에서 많이 사길래 세계 1~3위를 다투는 거임??""",1.0,0.0,0.0,0.0,0.0
"""userName"":""fjdk****"",""userProfileImage""","""용달블루 시절 생각하면 많이 좋아진거 같은데""",0.0,0.0,0.0,0.0,0.0
"""userName"":""ropi****"",""userProfileImage""","""삼성폰 접는다는 소문이 사실아이니?""",0.0,0.0,0.0,0.0,0.0
"""userName"":""love****"",""userProfileImage""","""ㅋㅋㅋㅋ""",0.0,0.0,0.0,0.0,0.0
"""userName"":""sama****"",""userProfileImage""","""123""",0.0,0.0,0.0,0.0,0.0
"""userName"":""hawk****"",""userProfileImage""","""삼성은 이제 서서히 탈코리아 중이다! 잘하고있다.""",0.0,0.0,0.0,0.0,0.0
"""userName"":""kkok****"",""userProfileImage""","""비스포크 에디션이 아주 예쁘지는 않다. 하지만 현 스마트폰 시장에서의 혁신은 분명하다.""",1.0,0.0,0.0,0.0,0.0
"""userName"":""gree****"",""userProfileImage""","""힛핑크 만들어주셈""",0.0,0.0,0.0,0.0,0.0
"""userName"":""lsw4****"",""userProfileImage""","""고장이 안나서 못바꾸고있음.졸 라 떨어뜨리고 막쓰는디..ㅋ""",0.0,0.0,0.0,0.0,0.0
"""userName"":""post****"",""userProfileImage""","""현대차도 그렇고 삼성도 그렇고 무리하게 대표 디자인에 묶으려 하지말아달라. 냉장고랑 디자인 묶어서 왜 수량많은 휴대폰을 희생시키나?""",0.0,0.0,0.0,0.0,0.0
"""userName"":""dks_****"",""userProfileImage""","""결국 판매량 절반이 한국이고 .. 나머지 국가는 출하만 해놓고 판매량은 찔끔찔금""",1.0,0.0,0.0,0.0,0.0
"""userName"":""ssho****"",""userProfileImage""","""출시 2달만에 한국에서 100만대, 글로벌 판매 100만대 총 200만대인데 누가 반했다는거임..""",1.0,0.0,0.0,0.0,0.0
"""userName"":""tyoo****"",""userProfileImage""","""무지개떡""",0.0,0.0,0.0,0.0,0.0
"""userName"":""beli****"",""userProfileImage""","""오...난 아이폰 유저인데 이쁘긴 진짜 이쁘네""",0.0,0.0,0.0,0.0,0.0
"""userName"":""aras****"",""userProfileImage""","""귀엽네요""",0.0,0.0,0.0,0.0,0.0
"""userName"":""ehtj****"",""userProfileImage""","""미니언즈 색깔조합이네ㅋㅋ""",0.0,0.0,0.0,0.0,0.0
